Department,Department Name,Division,Gender,Base Salary,2021 Overtime Pay,2021 Longevity Pay,Grade
ABS,Alcohol Beverage Services,Beer Loading,M,87969,32953.25,,20
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,80086,32656.04,1105.44,18
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,80086,31369.15,1591.2,18
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,70814,29837.85,,18
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,76419,21379.22,,17
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,87969,20278.28,,20
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,76419,17665.64,,17
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,83441.66,17635.73,,20
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,60555,16483.23,3022.88,12
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,58300.99,15624.99,,17
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,47309.35,13042.54,,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,65832.76,12552.22,,15
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,66624.72,11967.04,,15
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,63606.67,11442.6,,15
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,55151.9,11309.24,,17
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,55223,11301.76,,10
ABS,Alcohol Beverage Services,Beer Loading,M,45281.41,11005.98,,12
ABS,Alcohol Beverage Services,Beer Loading,M,43271,10882.94,,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,69604,10700.6,1440.16,15
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,60555,10164.53,1253.36,12
ABS,Alcohol Beverage Services,Beer Loading,M,47024.79,10124.68,,13
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,69604,9888.77,1440.16,15
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,58619.49,9882.57,,13
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,54200.48,9096.93,,15
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,55223,8930.88,121.93,10
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,47535.5,8550.55,,15
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,80086,8514.12,,18
ABS,Alcohol Beverage Services,Beer Loading,M,75857.14,8404.96,,18
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,38985.02,8332.94,,10
ABS,Alcohol Beverage Services,IT Administration,M,83931,8093.36,2500.16,19
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,65832.76,8071.55,,15
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,60555,7612.78,1804.4,12
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,49209.7,7506.78,,13
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,48621.93,7484.23,,15
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,49674.81,7451.88,,15
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,69604,7077.25,2049.67,15
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,43223.81,6810.36,,10
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,52499.69,6686.53,,10
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,54600.41,6596.01,,10
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,55223,6582.67,1645.28,10
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,49674.83,5917.11,,13
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,44786.06,5751.52,,12
ABS,Alcohol Beverage Services,Beer Loading,M,56922.42,5647.51,,12
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",M,95438.1,5568.23,,22
ABS,Alcohol Beverage Services,Beer Loading,M,40841.1,5553.29,,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,55793.89,5507.05,,15
ABS,Alcohol Beverage Services,Beer Loading,M,43271,5348.8,,12
ABS,Alcohol Beverage Services,Beer Loading,M,37707,4987.09,,12
ABS,Alcohol Beverage Services,Beer Loading,M,39460.39,4946.51,,12
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,52499.69,4906.32,,10
ABS,Alcohol Beverage Services,Beer Loading,M,41807.26,4785.27,,12
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,42413.17,4779.83,,13
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,39027,4748.89,,12
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,64429.1,4451.91,,15
ABS,Alcohol Beverage Services,Beer Loading,M,52734,4448.13,1571.44,9
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,69604,4356.14,4207.77,15
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,80086,3989.75,1591.2,18
ABS,Alcohol Beverage Services,Beer Loading,M,41807.26,3933,,12
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,47546.19,3888.87,,13
ABS,Alcohol Beverage Services,Beer Loading,M,41807.73,3843.76,,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,41761.52,3753.53,,10
ABS,Alcohol Beverage Services,Beer Loading,M,40841.5,3697.66,,12
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,37707,3694.07,,12
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,41807.73,3611.91,,12
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,60555,3576.53,,12
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,60555,3515.36,1804.41,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,F,42816.97,3497.8,,10
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,45634.8,3481.04,,15
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,54997.51,3464.16,,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,49411.45,3403.13,,15
