Department,Department_Name,Division,Gender,Base Salary,Overtime Pay,Longevity Pay,Grade
ZAH,Office of Zoning and Administrative Hearings,ZAH 05 Zoning and Administrative Hearings,M,142100,,,N35
ZAH,Office of Zoning and Administrative Hearings,ZAH 05 Zoning and Administrative Hearings,F,162000,,,N35
ZAH,Office of Zoning and Administrative Hearings,ZAH 05 Zoning and Administrative Hearings,F,93895,,,N21
ZAH,Office of Zoning and Administrative Hearings,ZAH 05 Office of Zoning and Administrative Hearings,F,77179.61,,,N18
ZAH,Office of Zoning and Administrative Hearings,ZAH 05 Director,F,196631.58,,,
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Strategic Partnerships,F,171540,,,M2
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Strategic Partnerships,M,163551,,,N34
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP MC311 Application Support,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP MC311 Application Support,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP MC311 Application Support,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Low Code Governance and Administration,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Low Code Governance and Administration,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Low Code Governance and Administration,M,151684,,,N32
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Low Code Governance and Administration,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Enterprise Services Team,M,115908.74,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Enterprise Services Team,M,135307.74,,,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Employee Productivity Services,M,120000,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Employee Productivity Services,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Employee Productivity Services,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Employee Productivity Services,F,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Employee Productivity Services,F,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Employee Productivity Services,M,121286.27,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Employee Productivity Services,F,154469,,,N32
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Web Solutions Team,F,130167,,2588.8,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Web Solutions Team,F,130167,,2588.8,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Web Solutions Team,M,148591.51,,,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Web Solutions Team,M,154469,,,N32
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Web Solutions Team,F,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Security and System Admin,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Security and System Admin,M,148525.11,,,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Payroll/Comp/BI,F,154469,,,N32
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Payroll/Comp/BI,F,150088,,,N32
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Payroll/Comp/BI,F,148607,,,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Payroll/Comp/BI,F,135307.74,,,N30
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Human Capital Management,F,148273.7,,,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Human Capital Management,F,135421.09,,,N30
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Geographic Information System,M,130167,,2588.8,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Geographic Information System,M,130167,,2588.8,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Geographic Information System,M,130167,,2588.8,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Geographic Information System,F,130167,,2588.8,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Geographic Information System,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Geographic Information System,F,87495.97,,,26
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Geographic Information System,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Geographic Information System,F,130167,,2588.8,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Geographic Information System,M,154469,,1518.2,N32
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Geographic Information System,F,96362.25,,346.08,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Geographic Information System,M,69525.64,,,23
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Financials,F,143021,,,N30
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Financials,M,141467.94,,,N32
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Financials,F,148607,,,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Enterprise Resource Planning,F,171534.13,,,M2
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Digital Transformation,M,175000,,,EX3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Data Services,F,147937.89,,,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Data Services,M,130167,,2588.8,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Data Services,F,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Voice Services,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Voice Services,M,93473.91,64716.56,5645.92,20
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Voice Services,M,89653,95925.64,5412.96,20
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Voice Services,M,118509,2239.91,,26
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Voice Services,M,89653,23283.78,,20
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Voice Services,M,81770,10524.56,,18
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Telecommunications Solutions,M,171398.7,,,M2
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Telecommunications Services,F,128483,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Server Support,M,130167,,2588.8,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Server Support,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Server Support,M,148591.51,,,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Server Support,M,154469,,,N32
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Server Support,M,154469,,,N32
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Server Support,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Radio Communications Services,M,81000,58.42,,20
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Radio Communications Services,M,89653,1159.65,5412.96,20
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Radio Communications Services,M,89653,3437.34,2667.52,20
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Radio Communications Services,M,89653,7361.6,,20
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Radio Communications Services,M,148531.2,,,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Radio Communications Services,M,84042,585.6,,20
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Radio Communications Services,M,89653,8800.79,,20
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Public Safety Data Systems,F,130167,6888.96,2588.8,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Public Safety Data Systems,M,148607,,,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Public Safety Data Systems,M,118509,,,26
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Public Safety Data Systems,F,130167,1215.49,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Public Safety Data Systems,M,130167,1126.48,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Fibernet Operations (GF),M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Fibernet Operations (GF),M,154469,1599.88,,N32
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Fibernet Operations (GF),F,74614,,4497.76,16
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Fibernet Operations (GF),F,74614,,,16
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Fibernet Operations (GF),M,171288.47,,,M2
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP FiberNet Infrastructure,M,130167,15480.74,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP FiberNet Infrastructure,M,105800.86,23043.36,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP FiberNet Engineering and Operations,F,131187,,,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP FiberNet Engineering and Operations,F,95433.04,2057.65,,23
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP FiberNet Engineering and Operations,M,130167,8402.36,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP FiberNet Engineering and Operations,M,123872.94,,,N30
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP FiberNet Engineering and Operations,M,191726,,,M1
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Digital Equity,F,171540,,,M2
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Data Center Management,M,148607,,,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Data Center Management,M,130167,,2588.8,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Data Center Management,M,89653,,5412.96,20
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Data Center Management,M,130167,,2588.8,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Data Center Management,M,130167,,2588.8,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Community Technology,F,93747.28,101.41,,21
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Community Technology,F,148507.15,,,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Community Technology,M,113091,,,25
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Community Technology,M,93747.28,,,21
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Community Technology,M,93895,101.57,,21
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Community Engagement (Cable),M,118509,,,26
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Community Engagement (Cable),M,103034,,,23
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Community Engagement (Cable),F,103034,,,23
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Community Engagement (Cable),M,118509,,,26
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIOs Office,F,81770,6622.32,,N18
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIOs Office,M,81684,,,N23
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Vendor and Contract Management,F,103034,,,23
